OBJECTID,CLOSURE_TYPE,STREET_NAME,STREET_FROM,STREET_TO,DATE_FROM,DATE_TO,REASON,STATUS,CLOSURE_SCHEDULED,DETAILS,DETOUR,ORGANIZATION,CONTACT,LENGTH_M
17088,Sidewalk,Noecker St.,8 Noecker St.,10 Noecker St.,2015-01-06T08:00:00.000Z,2016-08-31T16:30:00.000Z,Other,Closed,,Sidewalk closed - please use other side of street ,,Waterloo,Traffic Operations - 519-886-2310,27
17089,Sidewalk,James St.,150 King St. N.,11 James St.,2015-01-06T08:00:00.000Z,2016-08-31T16:30:00.000Z,Other,Closed,,Sidewalk closed - please use other side of street ,,Waterloo,Traffic Operations - 519-886-2310,49
17090,Road,Dodd's Lane,Union St. E.,John St. E.,2014-08-25T07:00:00.000Z,2016-06-30T18:00:00.000Z,Site Servicing,Closed,,Lane closed for construction at 222 King St. S.  No through traffic permitted.  Access to properties will be maintained on either side of the construction site.,King St. S.,Waterloo,Traffic Operations - 519-886-2310,176
17091,Sidewalk,Dorset Street/Princess Street,Adjacent to 14 Princess Street,,2014-10-14T07:00:00.000Z,2016-10-01T16:00:00.000Z,Other,Closed,,Sidewalk closed - please use other side of street,,Waterloo,Traffic Operations - 519-886-2310,92
17092,Sidewalk,Willis Way,85 Willis Way,Caroline Street S.,2015-10-30T07:00:00.000Z,2016-10-30T15:00:00.000Z,Other,Closed,New,Sidewalk on the south side of Willis Way is closed adjacent to 85 Willis Way - Pedestrians are directed to use the sidewalk on the north side of Willis Way,,Waterloo,519-886-2310,67
17093,Road,Lincoln Road,Ellis Crescent N.,Mayfield Avenue,2016-05-02T07:00:00.000Z,2016-07-15T17:00:00.000Z,Road Reconstruction,Closed,New,Road reconstruction - no through traffic - local traffic only - Expect delays,"EB - Weber, University, MayfieldWB - Mayfield, University",Waterloo,519-886-2310,575
17094,Intersection,Kumpf Drive,At Northfield Drive W.,,2016-01-01T07:01:25.000Z,2016-06-01T07:01:25.000Z,ION Construction Work,Closed,New,Kumpf Dr. closed at Northfield Dr. for LRT construction  - No through traffic - Local access off Randall Dr.,Via - Weber - Randall,Waterloo,519-886-2310,141
17095,Road,Glenridge Drive,Dale Crescent,University Avenue E.,2016-04-25T07:00:00.000Z,2016-10-14T17:00:00.000Z,Road Reconstruction,Closed,New,Road reconstruction - No through traffic - Local access only - Expect delays,Access to the school will be maintained at all times either via University Ave. or vai Dale Cres.,Waterloo,519-886-2310,586
17096,Road,Elgin Street,King Street N.,Peppler Street,2016-05-16T07:00:00.000Z,2016-10-31T17:00:00.000Z,Road Reconstruction,Closed,New,Road closed for reconstruction - No through traffic ,,Waterloo,519-886-2310,273
17097,Road,Peppler Street,Bridgeport Road E.,Elgin Street,2016-05-16T07:00:00.000Z,2016-10-31T17:00:00.000Z,Road Reconstruction,Closed,New,Road closed for reconstruction - No through traffic ,,Waterloo,519-886-2310,269
17098,Road,Hemlock Street,Balsam Street,University Avenue W.,2016-05-18T07:00:00.000Z,2016-06-02T17:00:00.000Z,Site Servicing,Closed,New,Road closed for site servicing at 243-255 Hemlock St. - No through traffic - Complete road crossing ,,Waterloo,519-886-2310,175
17099,Road,Willis Way ,King Street S.,Regina Street S.,2016-02-09T07:00:00.000Z,2016-12-01T17:00:00.000Z,ION Construction Work,Closed,New,Willis Way closed at King St. S. - No through traffic - Local access to the Uptown Parkade and Hughes Lane  via Regina Street S,,Waterloo,519-886-2310,94
17100,Sidewalk,Hemlock Street ,Balsam Street,University Avenue W.,2016-05-02T07:00:00.000Z,2016-08-26T17:00:00.000Z,Site Servicing,Closed,New,Sidewalk on the west side of Hemlock St. is closed adjacent to 243 - 255 Hemlock St. - Pedestrians are directed to use the sidewalk on the east side of Hemlock St. ,,Waterloo,519-886-2310,192
17101,Road,Lester Street,Hickory Street,University Avenue W.,2016-05-19T07:00:00.000Z,2016-06-30T18:00:00.000Z,Other,Lane Reduced,New,Northbound lane closed daily for site deliveries - Two way traffic will be maintained with flagging however expect some delays - Pedestrians will be directed around the work area. ,,Waterloo,519-886-2310,349
17102,Road,Hickory Street W.,Lester Street,Sunview Street,2016-05-19T07:00:00.000Z,2016-06-30T18:00:00.000Z,Other,Lane Reduced,New,Eastbound lane closed daily for site deliveries - Two way traffic will be maintained with flagging however expect some delays - Pedestrians will be directed around the work area. ,,Waterloo,519-886-2310,105
17103,Sidewalk,Hickory Street,Adjacent to 280 Lester Street,,2016-05-19T07:00:00.000Z,2016-08-02T18:00:00.000Z,Other,Closed,New,Sidewalk on the south side of Hickory St. is closed adjacent to 280 Lester St. - Pedestrians are directed to use the sidewalk on the north side of Hickory St. ,,Waterloo,519-886-2310,53
17104,Sidewalk,Lester Street,Adjacent to 280 Lester Street,,2016-05-19T07:00:00.000Z,2016-08-02T18:00:00.000Z,Other,Closed,New,Sidewalk on the east side of Lester St. is closed adjacent to 280 Lester St. - Pedestrians are directed to use the sidewalk on the west side of Lester St. ,,Waterloo,519-886-2310,106
17105,Road,James Street,King Street N.,Dead end,2016-05-24T07:00:00.000Z,2016-05-27T19:00:00.000Z,Other,Lane Reduced,New,Eastbound lane closed 7 am to 7 pm daily for site work - Two way traffic will be maintained with flagging - Expect delays - No parking on James Street beside 168 King Street N. ,,Waterloo,519-886-2310,117
17106,Road,Willis Way,King Street S.,Access to Waterloo Town Square South Parking Lot,2016-02-09T07:00:00.000Z,2016-12-01T17:00:00.000Z,ION Construction Work,Closed,New,Willis Way closed at King St. S. - No through traffic - Local access to the Waterloo Town Square South Parking Lot via Caroline Street S.,,Waterloo,519-886-2310,101
